t,x,y,psi,vy,r,delta_sfa,delta_drv_rwa,sfa_cmd,delta_cmd,real_h,perceived_x,perceived_y,perceived_h,dx_delayed,hazard,lane_term,obstacle_term,burst_mult,raw_cmd,lpf_cmd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,1.0,0.0,94.0625,39.0,0.0,0.0,0.0,1.0,0.0,0.0
0.35,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0625,2.0,0.0,89.25,38.0,0.0,0.0,0.0,1.0,0.0,0.0
0.39999999999999997,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,3.0,0.0,84.5625,37.0,0.0,0.0,0.0,1.0,0.0,0.0
0.44999999999999996,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0625,4.0,0.0,80.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
0.49999999999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25,5.0,0.0,75.5625,35.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5499999999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5625,6.0,0.0,71.25,34.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,0.0,67.0625,33.0,0.0,0.0,0.0,1.0,0.0,0.0
0.65,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5625,8.0,0.0,63.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7000000000000001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,9.0,0.0,59.0625,31.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7500000000000001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0625,10.0,0.0,55.25,30.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8000000000000002,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0,51.5625,29.0,0.033333333333333326,0.0,0.0037393162393162386,1.0,0.0037393162393162386,0.0015580484330484329
0.8500000000000002,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0625,12.0,0.0,48.0,28.0,0.06666666666666665,0.0,0.015350877192982452,1.0,0.015350877192982452,0.007305060416354274
0.9000000000000002,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,13.0,0.0,44.5625,27.0,0.09999999999999998,0.0,0.035472972972972965,1.0,0.035472972972972965,0.01904169064827873
0.9500000000000003,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015580484330484329,0.0,26.5625,14.0,0.0,41.25,26.0,0.1333333333333333,0.0,0.0648148148148148,1.0,0.0648148148148148,0.03811382571766876
1.0000000000000002,20.0,0.0,0.0,0.0,0.0,0.0004327912314023425,2.8852748760156166e-05,0.007305060416354274,2.8852748760156166e-05,24.0,15.0,0.0,38.0625,25.0,0.16666666666666663,0.0,0.10416666666666664,1.0,0.10416666666666664,0.06563584277975121
1.0500000000000003,21.0,0.0,0.0,6.0109893250325354e-05,4.808791460026029e-05,0.0023417548938889903,0.0001561169929259327,0.01904169064827873,0.0001561169929259327,21.5625,16.0,0.0,35.0,24.0,0.19999999999999996,0.0,0.15441176470588233,1.0,0.15441176470588233,0.10262581024897251
1.1000000000000003,22.0,3.005494662516268e-06,2.4043957300130144e-06,0.0003463322894776823,0.0003082652705747947,0.006980625936775029,0.0004653750624516686,0.03811382571766876,0.0004653750624516686,19.250000000003126,17.0,0.0,32.0625,23.0,0.23333333333333328,0.0,0.21654040404040398,1.0,0.21654040404040398,0.15009022432873562
1.1500000000000004,22.999999999955474,2.272650486636103e-05,1.781765925875275e-05,0.0010718404376961446,0.0010690186501331228,0.01562873698702329,0.0010419157991348861,0.06563584277975121,0.0010419157991348861,17.06250000027334,18.0,0.0,29.25,22.0,0.2666666666666667,0.0,0.29166666666666674,1.0,0.29166666666666674,0.20908040863620692
