policy,difficulty,driver_profile,rep,seed,steps,episode_time,final_x,final_y,min_h,mean_lambda,min_lambda,mean_takeover,rms_conflict,rms_rwa,first_driver_reaction_time,first_motor_release_time,peak_driver_rwa,peak_driver_swa_cmd,collision,success,return
driver,easy,late_linear,0,42,66.0,3.2499999999999964,57.312726419062194,7.770851801310614,0.9622187432793525,1.0,1.0,0.0,0.0,0.11022948241816867,1.5000000000000007,1.4000000000000006,0.25817606245576974,4.291588645508339,0.0,1.0,-155.13790225703374
driver,easy,late_aggressive,0,52,161.0,7.99999999999998,20.431971065016942,75.61577379508047,1.6297818816464833,1.0,1.0,0.0,0.0,0.1576841022533222,1.4500000000000006,1.4000000000000006,0.35,6.165216800675008,0.0,0.0,-125417.38693489006
driver,easy,frozen,0,62,45.0,2.2,40.68995888895341,-0.003972632728644416,-0.051140669338392786,1.0,1.0,0.0,0.0,0.012728033017924151,1.800000000000001,1.800000000000001,0.040930640738078096,0.7122091826594462,1.0,0.0,-199.4229474208477
driver,easy,wrong_initial,0,72,19.0,0.9000000000000002,39.079733997911696,-0.19121793000218293,-0.0966828506760129,1.0,1.0,0.0,0.0,0.06561978438175341,0.25,0.2,0.14227124896713908,3.9703868072570327,1.0,0.0,-201.39516737817115
driver,medium,late_linear,0,142,12.0,0.5499999999999999,41.967648597489855,0.08543159200304186,-0.2821521583967437,1.0,1.0,0.0,0.0,0.04835910904529518,0.2,0.15000000000000002,0.08155335141840898,1.3982671679139491,1.0,0.0,-202.63703003628785
driver,medium,late_aggressive,0,152,12.0,0.5499999999999999,38.14181687293153,0.5709161974200763,-0.3547987544780633,1.0,1.0,0.0,0.0,0.05259483459147154,0.35,0.3,0.1228350695934316,2.949004552919087,1.0,0.0,-204.35500878057672
driver,medium,frozen,0,162,14.0,0.65,40.71169726382817,-0.1397918122306266,-0.35961193104359845,1.0,1.0,0.0,0.0,0.009112512556238182,0.49999999999999994,0.44999999999999996,0.018584573989030247,0.37110774480716435,1.0,0.0,-203.29669426225854
driver,medium,wrong_initial,0,172,36.0,1.7500000000000009,35.422674182738554,0.36019903923571234,-0.25141262899680006,1.0,1.0,0.0,0.0,0.06069713279780383,0.9000000000000002,0.8500000000000002,0.17966751593277566,3.3525232216392515,1.0,0.0,-201.28505487849299
driver,hard,late_linear,0,242,26.0,1.2500000000000004,30.21572897366775,0.5859292180027408,-0.4464525755591382,1.0,1.0,0.0,0.0,0.05444747352399425,0.25,0.2,0.11091654454536212,1.9327548432444477,1.0,0.0,-203.7411293899891
driver,hard,late_aggressive,0,252,32.0,1.5500000000000007,34.245934363131944,0.7221932750320452,-0.24984610904744486,1.0,1.0,0.0,0.0,0.017168906816279104,1.4000000000000006,1.3000000000000005,0.06791689705421246,1.7449163016886697,1.0,0.0,-204.39389394112212
driver,hard,frozen,0,262,31.0,1.5000000000000007,35.95938872171191,-0.7044552244388531,-0.06141812535168112,1.0,1.0,0.0,0.0,0.0007658896015686759,,,0.0013592822330871755,0.08355391207302737,1.0,0.0,-204.10061552718327
driver,hard,wrong_initial,0,272,28.0,1.3500000000000005,34.991573101656826,-0.15590433764029005,-0.16624127064540062,1.0,1.0,0.0,0.0,0.013653124763857116,1.1500000000000004,1.1000000000000003,0.04632649578727139,0.933909663524586,1.0,0.0,-200.16683896561096
