policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
sac,easy,frozen,1.0,0.0,0.16975841129825908,0.5016949152542373,22.274632355429866
sac,easy,late_aggressive,1.0,0.0,0.16857616032782596,0.625,11.654540057519327
sac,easy,late_linear,1.0,0.0,0.32410143038799943,0.5284374999999999,25.14833810891508
sac,easy,wrong_initial,0.0,1.0,-0.10022445630691257,0.15473684210526314,-201.56743889751948
sac,hard,frozen,0.0,1.0,-0.00019559918537270793,0.32,-214.04249804572572
sac,hard,late_aggressive,1.0,0.0,0.0021335270218152402,0.42,-20.19965201396218
sac,hard,late_linear,0.0,1.0,-0.058514940288976636,0.26,-211.48255142316296
sac,hard,wrong_initial,0.0,1.0,-0.004915674287866545,0.27999999999999997,-206.49753784862048
sac,medium,frozen,0.0,1.0,-0.34362935194995103,0.11142857142857142,-203.3702223957356
sac,medium,late_aggressive,0.0,1.0,-0.32594019326778323,0.10999999999999999,-204.42540714160063
sac,medium,late_linear,0.0,1.0,-0.28352154411551667,0.10999999999999999,-202.74017665729718
sac,medium,wrong_initial,1.0,0.0,0.05677977360659847,0.39875,3.7108013959667545
