policy,success_mean,collision_mean,min_h_mean,mean_takeover_mean,rms_conflict_mean,first_driver_reaction_time_mean
driver,0.16666666666666666,0.8333333333333334,0.033805395743189234,0.0,0.0,1.0906250000000004
heuristic,0.7222222222222222,0.2777777777777778,0.18431078463643216,0.4659186141743262,0.16772749054636962,1.1794117647058826
sac_smoke,0.6111111111111112,0.3888888888888889,0.16738229294520876,0.29033993389553747,0.10079649281206082,1.1794117647058826
