policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
sac,easy,frozen,1.0,0.0,0.07077498610419997,0.7545762711864408,17.65782903855048
sac,easy,late_aggressive,1.0,0.0,0.1509301338520861,0.7873529411764706,8.38296301818741
sac,easy,late_linear,1.0,0.0,0.14136678288187032,0.7865625,21.6889311098212
sac,easy,wrong_initial,1.0,0.0,0.011587134500158136,0.6933333333333334,-4.450534804934335
sac,hard,frozen,1.0,0.0,0.003787429575926593,0.6742857142857143,-5.764050151291805
sac,hard,late_aggressive,1.0,0.0,0.010891682267746061,0.6944186046511628,7.3074105036063415
sac,hard,late_linear,1.0,0.0,0.0021727588590183533,0.6433333333333332,1.808823462464801
sac,hard,wrong_initial,1.0,0.0,0.0050124526414785375,0.6242105263157894,11.391314929401545
sac,medium,frozen,0.0,1.0,-0.24095590498662922,0.38571428571428573,-204.45595695660592
sac,medium,late_aggressive,0.0,1.0,-0.237934248208427,0.33,-205.24205968071263
sac,medium,late_linear,0.0,1.0,-0.26542090436276833,0.33,-203.69431781312363
sac,medium,wrong_initial,1.0,0.0,0.04888241060688525,0.6983333333333333,15.675671760315122
