policy,difficulty,driver_profile,rep,seed,steps,episode_time,final_x,final_y,min_h,mean_lambda,min_lambda,mean_takeover,rms_conflict,rms_rwa,first_driver_reaction_time,first_motor_release_time,peak_driver_rwa,peak_driver_swa_cmd,collision,success,return
sac,easy,late_linear,0,42,64.0,3.149999999999997,57.001156797830916,-0.9651860987455896,0.32410143038799943,0.47156250000000005,0.24,0.5284374999999999,0.14633957649696847,0.08222966290786579,1.5000000000000007,1.4000000000000006,0.2681547982367034,4.7459076407732095,0.0,1.0,25.14833810891508
sac,easy,late_aggressive,0,52,68.0,3.349999999999996,50.16357438650749,0.323902228750386,0.16857616032782596,0.375,0.0,0.625,0.22028150600131263,0.11757673936552712,1.4500000000000006,1.4000000000000006,0.35,6.165216800675008,0.0,1.0,11.654540057519327
sac,easy,frozen,0,62,59.0,2.8999999999999977,53.44165386608566,-0.8607144162629131,0.16975841129825908,0.49830508474576274,0.26,0.5016949152542373,0.09490502224732542,0.08627429550468435,1.800000000000001,1.800000000000001,0.11157051971505715,1.8895537674577472,0.0,1.0,22.274632355429866
sac,easy,wrong_initial,0,72,19.0,0.9000000000000002,39.07937098367571,-0.15456694285265002,-0.10022445630691257,0.8452631578947369,0.7000000000000001,0.15473684210526314,0.05501981362036899,0.031874753905056244,0.25,0.2,0.14210822436270965,3.9642261036458923,1.0,0.0,-201.56743889751948
sac,medium,late_linear,0,142,12.0,0.5499999999999999,41.96724726240112,-0.002344045816656852,-0.28352154411551667,0.89,0.78,0.10999999999999999,0.031903263817256985,0.0486320842979701,0.2,0.15000000000000002,0.08155335141840898,1.3982671679139491,1.0,0.0,-202.74017665729718
sac,medium,late_aggressive,0,152,12.0,0.5499999999999999,38.13675952880352,0.66491143275662,-0.32594019326778323,0.89,0.78,0.10999999999999999,0.029273206938717145,0.0784002819678402,0.35,0.3,0.1228350695934316,2.949004552919087,1.0,0.0,-204.42540714160063
sac,medium,frozen,0,162,14.0,0.65,40.70872485322203,-0.26052032834177147,-0.34362935194995103,0.8885714285714286,0.78,0.11142857142857142,0.03677412245347369,0.028583695538164988,0.49999999999999994,0.44999999999999996,0.018584573989030247,0.37110774480716435,1.0,0.0,-203.3702223957356
sac,medium,wrong_initial,0,172,48.0,2.3499999999999996,47.40752050803162,-2.9904455273968344,0.05677977360659847,0.60125,0.42,0.39875,0.17804601703761236,0.04807887871058902,0.9000000000000002,0.8500000000000002,0.35,6.316615940973242,0.0,1.0,3.7108013959667545
sac,hard,late_linear,0,242,27.0,1.3000000000000005,31.277532347989972,2.114007011207281,-0.058514940288976636,0.74,0.48,0.26,0.06176756147645047,0.055147503954869545,0.25,0.2,0.08870193137238518,2.11258399630493,1.0,0.0,-211.48255142316296
sac,hard,late_aggressive,0,252,43.0,2.1000000000000005,46.09661547384365,4.064651960944257,0.0021335270218152402,0.58,0.16,0.42,0.18503851529547374,0.10825465981418163,1.4000000000000006,1.3000000000000005,0.2497365115929261,6.137680239449631,0.0,1.0,-20.19965201396218
sac,hard,frozen,0,262,33.0,1.6000000000000008,38.131756599536324,2.333935043677905,-0.00019559918537270793,0.6799999999999999,0.36,0.32,0.05696510086350775,0.057623939072190114,,,0.005296443467198876,0.19278261979332362,1.0,0.0,-214.04249804572572
sac,hard,wrong_initial,0,272,29.0,1.4000000000000006,36.18848866423374,-1.6934629817570865,-0.004915674287866545,0.7200000000000001,0.44,0.27999999999999997,0.06539280041182557,0.05545252540894016,1.1500000000000004,1.1000000000000003,0.04645984178216568,0.9689960031747007,1.0,0.0,-206.49753784862048
