policy_label,history_stack,episodes,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
driver,1,12,0.08333333333333333,0.8333333333333334,0.02268696261604668,0.0,-10633.109934810638
heuristic,1,12,0.75,0.25,0.08316402036361242,0.4954523869501601,-45.6587854172024
seq_pretrain,4,12,0.75,0.25,0.09573061025580722,0.5082984923050211,-46.96485803395084
seq_sac,4,12,0.4166666666666667,0.5833333333333334,-0.03296603806332343,0.3183373190656726,-116.79476437548276
