policy,history_stack,episodes,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
driver,1,12,0.08333333333333333,0.8333333333333334,0.02268696261604668,0.0,-10633.109934810638
heuristic,1,12,0.75,0.25,0.08316402036361242,0.4954523869501601,-45.6587854172024
sac,4,12,0.75,0.25,-0.024908773855704603,0.616843403610822,-44.97449796536012
