policy_label,success,collision,min_h,mean_takeover,mean_lambda,min_lambda,return,rms_conflict
driver,0.0,1.0,-0.06141812535168112,0.0,1.0,1.0,-204.10061552718327,0.0
heuristic,1.0,0.0,0.003425661642958433,0.5038095238095237,0.4961904761904763,0.16,-8.409937685287375,0.11995869508640321
sequence_pretrain,1.0,0.0,0.002755595269767541,0.508095238095238,0.49190476190476184,0.16,-9.948266163032194,0.11850040945407003
v11_conservative_sac,1.0,0.0,0.0010390096518280156,0.44619047619047625,0.5538095238095239,0.22,-6.800030895612167,0.11298567541430046
