collision,episode,episode_time,final_x,final_y,first_driver_reaction_time,first_motor_release_time,mean_lambda,mean_takeover,min_h,min_lambda,peak_driver_rwa,peak_driver_sfa_cmd,return,rms_conflict,rms_rwa,steps,success
0.0,0.0,4.499999999999992,51.03180642999779,30.272010032469026,1.0000000000000002,0.9500000000000003,1.0,0.0,3.232393506924039,1.0,0.2377787743722498,4.041887708406531,-7710.225941912086,0.0,0.11948781567650482,91.0,1.0
1.0,1.0,0.9000000000000002,44.13825184080237,0.7001383089571436,0.25,0.2,1.0,0.0,-0.07230177057310905,1.0,0.14874324240899983,2.684077189738307,-201.94831255904413,0.0,0.08613936263054184,19.0,0.0
1.0,2.0,2.25,39.82659952698422,-0.7347663904636466,1.6500000000000008,1.5500000000000007,1.0,0.0,-0.07090242378130995,1.0,0.14219816844678143,2.767198227426494,-201.19843656227417,0.0,0.04981476443852796,46.0,0.0
1.0,3.0,1.900000000000001,37.30398810713607,0.14211452621797885,1.2000000000000004,1.1000000000000003,1.0,0.0,-0.21552343081657643,1.0,0.1454009940745737,2.689588836487465,-201.20679432915105,0.0,0.04909440157098216,39.0,0.0
1.0,4.0,2.799999999999998,47.70418945220654,0.7793178782378143,2.2,2.1500000000000004,1.0,0.0,-0.05629118615879414,1.0,0.15076268502351772,2.5338296486898075,-201.4515746771125,0.0,0.04763583503756209,57.0,0.0
0.0,5.0,2.799999999999998,54.22694410880321,7.949259581190942,1.4000000000000006,1.3500000000000005,1.0,0.0,0.1473958362503618,1.0,0.35,6.431382054332083,-133.4332655501183,0.0,0.16271472351567934,57.0,1.0
1.0,6.0,1.850000000000001,38.971956159975655,-0.7701463215077268,1.1000000000000003,1.0500000000000003,1.0,0.0,-0.19815354639675786,1.0,0.12525675017110416,2.151149198615787,-201.27437214339417,0.0,0.05376266090348229,38.0,0.0
1.0,7.0,1.950000000000001,39.05913826697701,0.8555985863311059,1.5000000000000007,1.4500000000000006,1.0,0.0,-0.11360973209115499,1.0,0.1079588155874321,2.433789834722825,-210.925626834412,0.0,0.03347859474341797,40.0,0.0
1.0,8.0,1.3500000000000005,31.065081832299796,-0.18088227661019607,1.0000000000000002,0.9500000000000003,1.0,0.0,-0.40436710406111964,1.0,0.09153329031320842,1.6233565418131701,-202.67960109269495,0.0,0.033259664144426195,28.0,0.0
0.0,9.0,3.599999999999995,57.90689921197778,7.993183722745982,1.900000000000001,1.850000000000001,1.0,0.0,0.1869276594741247,1.0,0.3244136686731858,5.457649520926051,-154.22615935808162,0.0,0.13210977072506772,73.0,1.0
1.0,10.0,2.000000000000001,37.937433825591974,-0.8280781492199762,1.2500000000000004,1.2000000000000004,1.0,0.0,-0.18102686235034504,1.0,0.19253490765649164,4.113932776018128,-207.94570909935663,0.0,0.06652050114862114,41.0,0.0
1.0,11.0,1.1500000000000004,29.886973833926195,0.617291751451584,1.1500000000000004,1.0500000000000003,1.0,0.0,-0.39602151222077675,1.0,0.019439452346490815,0.7689070961568077,-204.59384723346793,0.0,0.004324621422268971,24.0,0.0
1.0,12.0,0.65,33.37256174393716,-0.35964087670189077,0.35,0.3,1.0,0.0,-0.31031295101880485,1.0,0.14445576693320766,2.5497827811779645,-202.69910558325236,0.0,0.07118393344258495,14.0,0.0
1.0,13.0,0.35,33.444954501483714,0.37437407577130954,0.25,0.2,1.0,0.0,-0.32170691343869506,1.0,0.08037965103110097,3.025536275627773,-203.27444285247887,0.0,0.03544409451640827,8.0,0.0
1.0,14.0,2.499999999999999,43.389637368882376,-0.15210010724874812,nan,nan,1.0,0.0,-0.1036375503121515,1.0,0.004160205072531429,0.16590834093120516,-199.59460088896378,0.0,0.0006393639585633105,51.0,0.0
1.0,15.0,1.900000000000001,36.39530562199937,-0.32178625990417187,1.0000000000000002,0.9500000000000003,1.0,0.0,-0.2917827831391079,1.0,0.16629941413889468,3.2412224047603884,-201.8932746964772,0.0,0.05908351942403398,39.0,0.0
1.0,16.0,0.39999999999999997,36.35721870309726,-0.38237482544221824,nan,nan,1.0,0.0,-0.05836011052037038,1.0,0.0,0.0929643606705203,-201.30031654068276,0.0,0.0,9.0,0.0
1.0,17.0,0.44999999999999996,29.93299837677661,0.05371295190150866,0.25,0.2,1.0,0.0,-0.16422200239204643,1.0,0.11920893697036493,3.056054454651253,-201.67495831489782,0.0,0.05591394766775976,10.0,0.0
