policy,difficulty,driver_profile,rep,seed,steps,episode_time,final_x,final_y,min_h,mean_lambda,min_lambda,mean_takeover,rms_conflict,rms_rwa,first_driver_reaction_time,first_motor_release_time,peak_driver_rwa,peak_driver_swa_cmd,collision,success,return
sac,easy,late_linear,0,42,64.0,3.149999999999997,56.99300288996484,-0.6553772380597555,0.14136678288187032,0.2134375,0.0,0.7865625,0.14270425770124617,0.10629172576285813,1.5000000000000007,1.4000000000000006,0.27049980341392954,4.797072300897332,0.0,1.0,21.6889311098212
sac,easy,late_aggressive,0,52,68.0,3.349999999999996,50.20346785734111,0.4300170744584586,0.1509301338520861,0.2126470588235294,0.0,0.7873529411764706,0.22567357102812843,0.11917231790834677,1.4500000000000006,1.4000000000000006,0.35,6.165216800675008,0.0,1.0,8.38296301818741
sac,easy,frozen,0,62,59.0,2.8999999999999977,53.42794365606191,-0.5883906201751287,0.07077498610419997,0.24542372881355934,0.0,0.7545762711864408,0.10729525054559974,0.112980654208109,1.800000000000001,1.800000000000001,0.111524457124681,1.8923414755477637,0.0,1.0,17.65782903855048
sac,easy,wrong_initial,0,72,36.0,1.7500000000000009,51.654163847476006,1.7406582948722906,0.011587134500158136,0.3066666666666667,0.0,0.6933333333333334,0.38030487038329025,0.19407128092758616,0.25,0.2,0.35,5.732019492128164,0.0,1.0,-4.450534804934335
sac,medium,late_linear,0,142,12.0,0.5499999999999999,41.956979386670206,-0.2590453209877712,-0.26542090436276833,0.67,0.34,0.33,0.14611549728862777,0.10043935417986131,0.2,0.15000000000000002,0.08155335141840898,1.3982671679139491,1.0,0.0,-203.69431781312363
sac,medium,late_aggressive,0,152,12.0,0.5499999999999999,38.11769723723702,0.8892474659391126,-0.237934248208427,0.67,0.34,0.33,0.10205565518665648,0.1489272228886464,0.35,0.3,0.1228350695934316,2.949004552919087,1.0,0.0,-205.24205968071263
sac,medium,frozen,0,162,14.0,0.65,40.68276322739969,-0.6082303139784463,-0.24095590498662922,0.6142857142857144,0.26,0.38571428571428573,0.15785471302153256,0.14923306292468844,0.49999999999999994,0.44999999999999996,0.018584573989030247,0.37110774480716435,1.0,0.0,-204.45595695660592
sac,medium,wrong_initial,0,172,48.0,2.3499999999999996,47.3783376870033,-0.9870403230245017,0.04888241060688525,0.3016666666666667,0.0,0.6983333333333333,0.2357579511698763,0.14013975477700535,0.9000000000000002,0.8500000000000002,0.35,6.316615940973242,0.0,1.0,15.675671760315122
sac,hard,late_linear,0,242,36.0,1.7500000000000009,42.1268083507173,2.2806313895625308,0.0021727588590183533,0.3566666666666667,0.0,0.6433333333333332,0.18621162366135238,0.13516414382436565,0.25,0.2,0.2467846864889912,4.601021206748396,0.0,1.0,1.808823462464801
sac,hard,late_aggressive,0,252,43.0,2.1000000000000005,46.23105184557538,1.582168904568294,0.010891682267746061,0.3055813953488372,0.0,0.6944186046511628,0.1985384883318729,0.1536113264395283,1.4000000000000006,1.3000000000000005,0.2490911274410973,6.137680239449631,0.0,1.0,7.3074105036063415
sac,hard,frozen,0,262,42.0,2.0500000000000007,48.949932373010085,2.396321380624279,0.003787429575926593,0.32571428571428573,0.0,0.6742857142857143,0.12152943693654489,0.12568271100679596,1.7000000000000008,1.6500000000000008,0.018371401464875717,0.39550451704458545,0.0,1.0,-5.764050151291805
sac,hard,wrong_initial,0,272,38.0,1.850000000000001,47.82247214925725,-2.414304067071347,0.0050124526414785375,0.37578947368421056,0.0,0.6242105263157894,0.16343607382083672,0.13224191928706516,1.1500000000000004,1.1000000000000003,0.21489801822418775,5.611840761082263,0.0,1.0,11.391314929401545
