policy,episode_return,success,collision,road_departure,min_h,mean_takeover,min_lambda,max_abs_y
bc_warmstart,-75.86397924254312,0.6666666666666666,0.3333333333333333,0.0,0.10071381509336057,0.416804885260482,0.16293908554362133,2.2161953107067722
driver_hold,-201.97711097945583,0.0,1.0,0.0,-0.21989983367147778,0.0,1.0,0.4617690335536431
heuristic,-26.23837766364684,0.875,0.125,0.0,0.3099538526064441,0.37803182164258925,0.05000000000000001,2.3833734649546834
sac_finetune,-55.40898158704362,0.75,0.25,0.0,0.17289482871343642,0.40306370313685197,0.1718243357872173,2.278309267963872
