policy,episode_return,success,collision,road_departure,min_h,mean_takeover,min_lambda,max_abs_y
bc_warmstart,-111.67208841549255,0.5,0.5,0.0,0.1829293302460951,0.3939797463906647,0.17415452916175123,2.259839146842178
driver_hold,-202.68577297571247,0.0,1.0,0.0,-0.20181900473225128,0.0,1.0,0.6547116864874976
heuristic,4.636468731887039,1.0,0.0,0.0,0.40922860989430976,0.3744794309883088,0.05,2.439814026884001
sac_finetune,-114.01272016582017,0.5,0.5,0.0,0.32519059174536924,0.3711289486454644,0.16296857543638918,2.3441712008371054
