t,x,y,psi,vy,r,delta_sfa,delta_rwa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lambda,real_h,ttc,perceived_h,raw_cmd,lpf_cmd,sfa_cmd,driver_hazard,driver_obstacle_term,driver_burst_mult,auto_hazard,auto_y_ref,auto_repulsive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,99.0,2.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,94.0625,1.95,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,89.25,1.9,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,84.5625,1.85,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,80.0,1.8,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,75.5625,1.75,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03461394557823132,0.010384183673469397,0.7,71.25,1.7,94.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142858,0.06285714285714289,4.2517006802721106e-05
0.35,7.0,0.0,0.0,0.02163371598639458,0.017306972789115662,0.0,0.0043267431972789155,0.0,0.06594221347685421,0.019782664043056265,0.7,67.0625,1.65,89.25,0.0,0.0,0.0,0.0,0.0,1.0,0.05714285714285716,0.12571428571428578,0.00017421602787456457
0.39999999999999997,8.0,0.0010816857993197289,0.0008653486394557832,0.04880371211492733,0.050271733637520105,0.0,0.010766710216352813,0.0,0.09343481772042857,0.028030445316128576,0.7,63.00000040485958,1.6,84.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.08571428571428574,0.18857142857142864,0.0004012431904592226
0.44999999999999996,8.99999751397486,0.004387219022882373,0.0033789353213317884,0.06861008941019706,0.09165901497204462,0.0,0.017959933174592716,0.0,0.1170929588917984,0.03512788766753953,0.7,59.06251629344841,1.5500001243012569,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11428564325642465,0.2514284151641343,0.0007286040930983464
