mode,fixed_lambda,collision,success,min_h,max_abs_y,max_abs_delta_cmd,final_x,final_y,first_sfa_cmd_time,first_drv_rwa_time
driver,1.0,1.0,0.0,0.005710633208360738,0.12088817908111682,0.09333178834844066,36.99760183905008,0.1678499850520321,0.9500000000000003,1.1500000000000004
automation,0.0,0.0,1.0,0.5799691164811893,2.6183085628577967,0.35,48.75357212820232,1.714135665648935,0.8000000000000002,1.0000000000000002
shared,0.7,0.0,1.0,0.38041017529961785,2.093684856452799,0.07013316746113053,48.88723525926877,1.7668018429034396,0.8500000000000002,1.1000000000000003
