mode,fixed_lambda,collision,success,min_h,max_abs_y,max_abs_delta_cmd,final_x,final_y,first_sfa_cmd_time,first_drv_rwa_time
shared,0.0,0.0,1.0,0.5799691164811893,2.6183085628577967,0.35,48.75357212820232,1.714135665648935,0.8000000000000002,1.0000000000000002
shared,0.1,0.0,1.0,0.4581576953409321,2.6773835953635094,0.3097578018511708,48.80222171770445,2.0894963036685406,0.8000000000000002,1.0000000000000002
shared,0.2,0.0,1.0,0.3042187371483267,2.732961749155661,0.2670332217226983,48.83526340307788,2.4490301646846184,0.8000000000000002,1.0000000000000002
shared,0.3,0.0,1.0,0.14446767143659067,2.7670911328791066,0.2270268053509863,48.84623477744477,2.69648039372319,0.8000000000000002,1.0000000000000002
shared,0.4,0.0,1.0,0.015604446103632874,2.7081781527280815,0.18895407222137414,48.85314836009088,2.7201322579344462,0.8000000000000002,1.0500000000000003
shared,0.5,1.0,0.0,0.15151570641017775,1.7091929607051641,0.11832091502373923,38.9134661739983,1.6118131610332425,0.8000000000000002,1.0500000000000003
shared,0.6,0.0,1.0,0.006645257397867033,2.0528611544147832,0.12333192524612091,48.89439725706991,2.0858741226235935,0.8000000000000002,1.0500000000000003
shared,0.7,0.0,1.0,0.38041017529961785,2.093684856452799,0.07013316746113053,48.88723525926877,1.7668018429034396,0.8500000000000002,1.1000000000000003
shared,0.8,0.0,1.0,1.1627318446909154,2.518747207639806,0.054601010681590297,48.864485080637785,2.3112752467110567,0.8500000000000002,1.2000000000000004
shared,0.9,0.0,1.0,1.2063903980004702,4.025959273075151,0.09090818954426204,48.69893259182226,4.241798777869915,0.8500000000000002,1.3000000000000005
shared,1.0,1.0,0.0,0.005710633208360738,0.12088817908111682,0.09333178834844066,36.99760183905008,0.1678499850520321,0.9500000000000003,1.1500000000000004
