t,x,y,psi,vy,r,delta_sfa,delta_rwa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lambda,real_h,ttc,perceived_h,raw_cmd,lpf_cmd,sfa_cmd,driver_hazard,driver_obstacle_term,driver_burst_mult,auto_hazard,auto_y_ref,auto_repulsive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0625,1.95,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25,1.9,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5625,1.85,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.8,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5625,1.75,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03461394557823132,0.03461394557823132,0.0,71.25,1.7,94.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142858,0.06285714285714289,4.2517006802721106e-05
0.35,7.0,0.0,0.0,0.07211238662131525,0.0576899092970522,0.0,0.01442247732426305,0.0,0.05806754085780658,0.05806754085780658,0.0,67.0625,1.65,89.25,0.0,0.0,0.0,0.0,0.0,1.0,0.05714285714285716,0.12571428571428578,0.00017421602787456457
0.39999999999999997,8.0,0.0036056193310657625,0.0028844954648526103,0.14627347242674182,0.1544479910933209,0.0,0.03260792046323952,0.0,0.07107116668241194,0.07107116668241194,0.0,63.00000449843971,1.6,84.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.08571428571428574,0.18857142857142864,0.0003999829813237666
0.44999999999999996,8.999974743616704,0.013803753991262688,0.010606895019518656,0.17635373828010295,0.25513765611164213,0.0,0.04863427305456136,0.0,0.0764262346705686,0.0764262346705686,0.0,59.06266380057505,1.5500012628191648,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.114284992674763,0.2514269838844786,0.0007201647848773433
0.49999999999999994,9.999824964507457,0.033227641017954335,0.02336377782510076,0.1600929984395922,0.33580793626730426,0.0,0.06021425706123104,0.0,0.07542832408116044,0.07542832408116044,0.0,55.25103841827402,1.5000087517746272,75.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.14285214184307016,0.3142747120547544,0.0011278784420034518
0.5499999999999999,10.999365042017244,0.06459175860641689,0.040154174638465975,0.11345420714859139,0.3854969636498834,0.0,0.06655345165286829,0.0,0.06822112038505676,0.06822112038505676,0.0,51.56624537947044,1.4500317478991378,71.25,0.0,0.0,0.0,0.0,0.0,1.0,0.17141042977192134,0.377102945498227,0.0016072826914684266
0.6,11.998331249665684,0.1104032813850111,0.059429022820960145,0.05151104552461874,0.40037069767021316,0.0,0.06724831362461349,0.0,0.05496231650350642,0.05496231650350642,0.0,48.01005840732306,1.400083437516716,67.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.19995232141901953,0.439895107121843,0.002134688467399745
0.65,12.996412892491188,0.17236833382807992,0.0794475577044708,-0.016158396299453495,0.3797236802715632,0.0,0.06212914815748555,0.0,0.03644946370178757,0.03644946370178757,0.0,44.58488786039242,1.3501793553754406,63.00000449843971,-0.006021384282879824,-0.0025089101178665933,0.0,0.0,0.0,1.0,0.22846893978546245,0.5026316675280175,0.002683793037254331
0.7000000000000001,13.9933227146937,0.25092696881228477,0.09843374171804897,-0.0832793885820207,0.3250218598996903,0.0,0.051429279634278055,0.0,0.014165455959183304,0.014165455959183304,0.0,41.293490934009725,1.300333864265315,59.06266380057505,-0.022441717722520595,-0.01081424661980576,0.0,0.0,0.0,1.0,0.25695207756267713,0.5652945706378897,0.003232999061605847
0.7500000000000001,14.98889123788715,0.3450580171853826,0.11468483471303349,-0.144425755284535,0.24024236565845467,0.0,0.035902686436321905,0.0,-0.009934559252685318,-0.009934559252685318,0.0,38.138421568515795,1.2505554381056423,55.25103841827402,-0.05098449151501595,-0.02755184865947667,0.0,0.0,0.0,1.0,0.2853968925110615,0.6278731635243353,0.0037709339497766984
0.8000000000000002,15.983148494986553,0.452317765936477,0.12669695299595624,-0.19426785110760378,0.1320946648109729,0.0,0.016803834065902225,0.0,-0.033675003820651125,-0.033675003820651125,0.0,35.12136512197628,1.2008425752506724,51.56624537947044,-0.08828580034559669,-0.05285766186202668,-0.0025089101178665933,0.033312168067241577,0.0034555113817849557,1.0,0.3138042427139015,0.6903693339705834,0.0042979613661939566
0.8500000000000002,16.97636053400371,0.5690404952839264,0.13330168623650487,-0.22799736009753271,0.009683440359243706,-0.0006969194771851649,-0.004229015053495006,-4.646129847901099e-05,-0.05488235039198087,-0.05488235039198087,0.0,32.24254236540427,1.1511819732998145,48.01005840732306,-0.1304562303033833,-0.08519039871259193,-0.01081424661980576,0.06661104165552278,0.013466206407716999,1.0,0.3421817295429631,0.7527998049945189,0.004824392611906857
0.9000000000000002,17.969004137842305,0.6906490178012776,0.13378585825446707,-0.24203476045827194,-0.11627510073975039,-0.003507288127913108,-0.025334571444530784,-0.00023381920852754052,-0.07157900193262305,-0.07157900193262305,0.0,29.500349209196397,1.1015497931078848,44.58488786039242,-0.17691693463221234,-0.12340978867910042,-0.02755184865947667,0.09988042974970623,0.02911222975949077,1.0,0.37054297536692304,0.8151945458072307,0.005367475678643565
