policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
random,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9104727197701888,-0.8952728022981113,94.0625,1.95,-0.03818539034050242,-0.0,-0.002003783476336784,0.0,0.0,0.0
random,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8279100552747153,-0.8256266449547354,89.25,1.9,-0.029202860091993448,-0.0,-0.007403737268887887,0.0,0.0,0.0
random,0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809358408008795,-0.18551647265920335,84.5625,1.85,0.04678398245541519,-0.0,-0.00908605414923527,0.0,0.0,0.0
random,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308984549964828,-0.7845995301231219,80.0,1.8,-0.03197548110115092,-0.0,-0.018103910380820005,0.0,0.0,0.0
random,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8111382305868217,0.8023977559033892,75.5625,1.75,-0.0261782510279245,-0.0,-0.008917191986469137,0.0,0.0,0.0
random,0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7187689638072862,-0.9236926677953552,71.25,1.7,-0.06215770127417489,-0.0,-0.01977272392950688,0.0,0.0,0.0
random,0.35,7.0,0.0,0.0,0.003951623622072142,0.0,0.0,0.03461394557823132,0.00948389669297314,0.7260093718140715,0.07240408006785382,67.0625,1.65,0.040531658116930935,-0.0,-0.018767716083429923,0.0,0.0,0.0
random,0.39999999999999997,8.0,0.0009879059055180356,0.0007903247244144284,0.010792858325421324,0.0,0.0,0.06623480674551549,0.020370586910110178,0.6924489115160075,-0.3356046029806403,63.00000033770176,1.6,0.02246750039564812,-0.0,-0.023646918006922143,0.0,0.0,0.0
random,0.44999999999999996,8.999997736756141,0.004246756235043289,0.00327790857227242,0.015545273321118961,0.0,0.0,0.09361237250779311,0.022198654315095653,0.7628662353018812,0.7041732378587373,59.062515010533424,1.5500001131621928,-0.014095340685076861,-0.0,-0.014058105589975688,0.0,0.0,0.0
random,0.49999999999999994,9.999982980053995,0.010387560947725132,0.007371909077590987,0.024220845374124625,0.0,0.0,0.11915626831710105,0.03636664624833256,0.6947987146462752,-0.6806752065560602,55.25010116094796,1.5000008509973004,-0.02026337328369329,-0.0,-0.02328695614539144,0.0,0.0,0.0
random,0.5499999999999999,10.999927731577007,0.021567856319370596,0.01374229848676727,0.03367100300301364,0.0,0.0,0.13886045654136947,0.04690122368345826,0.6622420460681303,-0.325566685781449,51.5629229326768,1.4500036134211496,0.016186293308007853,-0.0,-0.028520108861060753,0.0,0.0,0.0
random,0.6,11.999769834451518,0.03992825329704315,0.02280029221191011,0.04315479108940072,0.0,0.0,0.1521086144294667,0.05643209441034264,0.6290013249939214,-0.33240721074208945,48.001357231661956,1.400011508277424,0.00787819753439235,-0.0,-0.03441000421406649,0.0,0.0,0.0
random,0.65,12.999395609633671,0.0677392078996523,0.03467251474350572,0.05298750077490653,0.0,0.0,0.1581959058841913,0.06675329433461466,0.5780339954974436,-0.5096732949647778,44.56612759128115,1.3500302195183163,-0.02351107525101282,-0.0,-0.04451382723896286,0.0,0.0,0.0
random,0.7000000000000001,13.998614649526871,0.1075920713169354,0.04943614050301134,0.06472164109669076,0.0,0.0,0.15556839701287437,0.0811494375471887,0.4783681062132882,-0.9966588928415543,41.25850806393906,1.3000692675236565,-0.14174573142022537,-0.0,-0.06802495815387785,0.0,0.0,0.0
random,0.7500000000000001,14.997112636064031,0.1626733246479065,0.06747870086556468,0.0692139748111896,0.0,0.0,0.14129215785721,0.07550324201148796,0.4656232648963319,-0.12744841316956323,38.08068014600206,1.2501443681967985,-0.03705649787990108,-0.0,-0.07138962375501397,0.0,0.0,0.0
random,0.8000000000000002,15.994557197528877,0.23423828492551335,0.08749901282157499,0.07118942034906976,0.0,0.0,0.11989067086784758,0.07395504410210198,0.38314596484641644,-0.8247730004991543,35.03531557868592,1.200272140123556,-0.15809198666248186,-0.0,-0.09512722517131464,0.0,0.0,0.0
random,0.8500000000000002,16.990540033660686,0.32380946156339846,0.10842195163129895,0.06389957530788762,-0.00019094940534897218,0.0,0.08988903940338025,0.05369379225023262,0.40266585774401453,0.195198928975981,32.125984161600336,1.1504729983169657,-0.10365970459119662,-0.0,-0.08920201937617347,0.0,0.0,0.0
random,0.9000000000000002,17.98481289186442,0.4306891749684063,0.1280191263355254,0.053204515616899505,-0.001050775141526806,-1.2729960356598146e-05,0.05595225477405874,0.038231432049516144,0.31664125003585103,-0.8602460770816351,29.355963449198374,1.1007593554067792,-0.2630096540147117,-0.0,-0.11674479528814105,0.0,0.0,0.0
random,0.9500000000000003,18.977204667588694,0.5538916525999558,0.14477742640165409,0.03622128135354829,-0.0031471665498643882,-7.005167610178706e-05,0.01730517978538927,0.012444753384856589,0.2797330447830237,-0.3690820525282734,26.72852799688046,1.0511397666205653,-0.2754957813518208,-0.0,-0.1296961216943834,0.0,0.0,0.0
random,1.0000000000000002,19.967860195252474,0.6904991965238758,0.15698745605571837,0.014242202469945203,-0.006844460368286567,-0.00020981110332429255,-0.02254575209367666,-0.016528507967099114,0.2693973864444124,-0.10335658338611253,24.245393013624312,1.0016069902373763,-0.3664592835151922,-0.0,-0.13344504473356383,0.0,0.0,0.0
