policy,return,success,collision,road_departure,final_x,final_y,min_h,mean_lambda,mean_takeover,steps
driver_hold,-202.24713133424422,0.0,1.0,0.0,36.99760183905008,0.1678499850520321,-0.4268516736271276,1.0,0.0,37
full_takeover,-13.505599357152448,1.0,0.0,0.0,52.36697214726655,0.023712799472943802,0.562462635175101,0.08490566037735851,0.9150943396226415,53
heuristic,0.9238876691110463,1.0,0.0,0.0,51.75930231892559,1.5723625489238362,0.22112443641477952,0.6124280762761205,0.38757192372387955,52
random,-231.48973214018702,0.0,1.0,0.0,38.90303970346852,1.5915949774449862,-0.04826138788904255,0.45577773384422154,0.5442222661557785,39
