policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
driver_hold,1.3500000000000005,26.999999616992092,0.0015819660505114804,0.0010094014419006368,0.00335761353690457,0.11417853132243347,0.005178520618578297,0.35,0.005178520618578297,1.0,0.0,9.562501488345156,0.6500000191503954,0.05998983410527927,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.4000000000000006,27.99999854366888,0.0031499928647772723,0.001875198817903928,0.005130233766595263,0.1604438651203066,0.007611902088162231,0.35,0.007611902088162231,1.0,0.0,8.000005617872262,0.600000072816556,0.05997404411734068,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.4500000000000006,28.99999531253731,0.005810677988957273,0.003220310968413766,0.007449410394966864,0.21762824718223514,0.010696257674687105,0.35,0.010696257674687105,1.0,0.0,6.562518128300179,0.5500002343731344,0.05993781344071805,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.5000000000000007,29.99998674126788,0.0100824535371641,0.005199387024918657,0.010390718485459425,0.28695694104999414,0.014508549812149009,0.35,0.014508549812149009,1.0,0.0,5.2500517484674285,0.500000662936606,0.059857474267277944,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.5500000000000007,30.99996617531868,0.016637573762112806,0.007989052895986594,0.014032278590128948,0.36975690260229754,0.019130462736666277,0.35,0.019130462736666277,1.0,0.0,4.062633834450688,0.450001691234066,0.05968454918216407,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.6000000000000008,31.99992069555949,0.026324760145274025,0.01178847323258539,0.01845652091652793,0.46748609527175117,0.024650460173486502,0.35,0.024650460173486502,1.0,0.0,3.0003190947978444,0.4000039652220256,0.05932346071259361,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.6500000000000008,32.999826695613805,0.0401925819865186,0.01682044688440915,0.02375202873663438,0.5817599659472792,0.031165739684783412,0.35,0.031165739684783412,1.0,0.0,2.0632106202554663,0.35000866521930973,0.05859325957487812,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.7000000000000008,33.99964315148046,0.059513939943091586,0.023333057390929786,0.030015349150461147,0.7143733530855362,0.038783997729818616,0.35,0.038783997729818616,1.0,0.0,1.2514932184133536,0.30001784242597684,0.057164720567238266,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.7500000000000009,34.99930170258838,0.08581203919691748,0.03160186928232549,0.03735265792347834,1.0112182774842573,0.04762489020570241,0.35,0.04762489020570241,1.0,0.0,0.5654844615387882,0.2500349148705808,0.009224661459499779,-0.04523607521877437,-0.0,0.0,0.0,0.0
driver_hold,1.800000000000001,35.998692408789665,0.12088817908111682,0.04193263146861932,0.04987844705214729,1.39997682522661,0.06741455183228381,0.35,0.06741455183228381,1.0,0.0,0.005710633208360738,0.20006537956051673,-1.1558314376669998,-1.2050943120998383,-0.0,0.0,0.0,0.0
driver_hold,1.850000000000001,36.99760183905008,0.1678499850520321,0.05546387462628082,0.06798400592560286,1.8469088212696054,0.09333178834844066,0.35,0.09333178834844066,1.0,0.0,-0.4268516736271276,0.15011990804749614,-203.13504466917382,-3.1744867358906466,-0.0,1.0,0.0,0.0
